Месяц,MAE,Макс_Ошибка,Среднее_TNav,Среднее_PSS
1,0.2078,10.0363,217.8685,217.7223
2,0.3359,28.912,217.7588,217.5562
3,0.4836,34.0287,217.6671,217.3896
4,0.6436,36.0455,217.5686,217.2235
5,0.8067,38.2335,217.4748,217.0575
6,0.969,41.718,217.3792,216.8918
7,1.1272,44.0838,217.2878,216.7262
8,1.28,44.6514,217.1956,216.5608
9,1.4288,44.902,217.1048,216.3956
10,1.5742,45.0316,217.0179,216.2306
11,1.7169,45.1068,216.9291,216.0658
12,1.8559,45.1341,216.8438,215.9012
13,1.9919,45.1358,216.7563,215.7368
14,2.1251,45.1133,216.6694,215.5726
15,2.2553,45.062,216.5919,215.4086
16,2.382,45.0415,216.507,215.2448
17,2.5062,45.031,216.4257,215.0812
18,2.6277,45.1124,216.3423,214.9178
19,2.7468,45.2233,216.2623,214.7546
20,2.8637,45.3133,216.1802,214.5916
21,2.9783,45.3801,216.0987,214.4288
22,3.0913,45.4219,216.0203,214.2661
23,3.202,45.4545,215.9398,214.1037
24,3.3115,45.4684,215.8623,213.9414
25,3.419,45.4762,215.7826,213.7792
26,3.5249,45.4737,215.7033,213.6173
27,3.631,45.4491,215.6321,213.4554
28,3.7341,45.4303,215.5535,213.2937
29,3.8365,45.4002,215.4778,213.1322
30,3.937,45.3677,215.4,212.9708
31,4.037,45.3257,215.3249,212.8095
32,4.1351,45.282,215.2477,212.6484
33,4.2322,45.2333,215.1707,212.4873
34,4.3289,45.1771,215.0966,212.3264
35,4.424,45.1199,215.0202,212.1656
36,4.519,45.056,214.9465,212.0049
37,4.6125,44.9915,214.8706,211.8442
38,4.705,44.9239,214.795,211.6837
39,4.7984,44.848,214.7245,211.5232
40,4.8895,44.7747,214.6494,211.3628
41,4.9808,44.6964,214.5769,211.2025
42,5.0706,44.6182,214.5022,211.0422
43,5.1607,44.5354,214.4302,210.8821
44,5.2494,44.4528,214.3559,210.7219
45,5.3375,44.3683,214.2819,210.5619
46,5.4261,44.2798,214.2105,210.4018
47,5.5133,44.1917,214.1369,210.2419
48,5.6009,44.1,214.0658,210.082
49,5.6872,44.0089,213.9926,209.9221
50,5.773,43.9162,213.9196,209.7623
51,5.8614,43.8167,213.8537,209.6025
52,5.9465,43.7215,213.7811,209.4427
53,6.0322,43.6234,213.7109,209.283
54,6.1165,43.5258,213.6386,209.1233
55,6.2016,43.4255,213.5688,208.9636
56,6.2852,43.3259,213.4968,208.804
57,6.3686,43.2253,213.425,208.6444
58,6.4528,43.1222,213.3557,208.4848
59,6.5356,43.0198,213.2842,208.3253
60,6.6193,42.915,213.2152,208.1657
61,6.7017,42.8109,213.1441,208.0062
62,6.7838,42.7061,213.0731,207.8467
63,6.8692,42.5961,213.0091,207.6872
64,6.9509,42.4899,212.9384,207.5278
65,7.0338,42.3816,212.8702,207.3683
66,7.1153,42.2741,212.7998,207.2089
67,7.1964,42.162,212.7318,207.0505
68,7.2755,42.0498,212.6617,206.8926
69,7.3544,41.9371,212.5918,206.7348
70,7.4345,41.8225,212.5243,206.5771
71,7.5133,41.7087,212.4546,206.4195
72,7.5925,41.5901,212.3873,206.2619
73,7.67,41.4716,212.318,206.1046
74,7.7473,41.3526,212.2487,205.9473
75,7.8286,41.2295,212.1863,205.7903
76,7.9059,41.1097,212.1174,205.6333
77,7.9844,40.9882,212.0507,205.4765
78,8.0614,40.8675,211.9821,205.3198
79,8.1397,40.7453,211.9157,205.1633
80,8.2166,40.6238,211.8473,205.0069
81,8.2934,40.502,211.779,204.8506
82,8.3693,40.3767,211.713,204.6963
83,8.4437,40.2522,211.6449,204.5421
84,8.5193,40.1264,211.5792,204.3882
85,8.5934,40.0014,211.5114,204.2345
86,8.6675,39.8762,211.4437,204.0809
87,8.7442,39.7486,211.3806,203.9276
88,8.8181,39.6229,211.3131,203.7744
89,8.8934,39.496,211.248,203.6214
90,8.9671,39.3699,211.1808,203.4686
91,9.0423,39.2426,211.1159,203.316
92,9.1158,39.1162,211.049,203.1635
93,9.1892,38.9896,210.9822,203.0113
94,9.2641,38.8618,210.9176,202.8592
95,9.3375,38.7348,210.851,202.7073
96,9.4123,38.6067,210.7867,202.5556
97,9.4857,38.4794,210.7203,202.404
98,9.5589,38.352,210.6541,202.2527
99,9.6366,38.2216,210.5943,202.1015
100,9.7097,38.0939,210.5283,201.9504
101,9.7843,37.9652,210.4645,201.7996
102,9.8574,37.8372,210.3987,201.6489
103,9.932,37.7082,210.3352,201.4984
104,10.005,37.5801,210.2696,201.3481
105,10.0781,37.4518,210.2041,201.1979
106,10.1527,37.3225,210.1409,201.0479
107,10.2257,37.194,210.0756,200.8981
108,10.3003,37.0645,210.0126,200.7484
109,10.3733,36.9359,209.9476,200.5989
110,10.4462,36.8029,209.8827,200.4491
111,10.5238,36.6656,209.8241,200.2994
112,10.5967,36.531,209.7594,200.1499
113,10.6711,36.3954,209.6969,200.0006
114,10.7438,36.2607,209.6324,199.8516
115,10.818,36.125,209.57,199.7028
116,10.8905,35.9902,209.5057,199.5542
117,10.9629,35.8553,209.4415,199.4058
118,11.0368,35.7196,209.3795,199.2577
119,11.1091,35.5846,209.3155,199.1098
